"id","title","description","link","image_link","condition","availability","price","sale price"
"6358ed6065e5f","Funko Pop! Borat № 1269 / Фанко Поп! Борат № 1269","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-borat-1269-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%91%D0%BE%D1%80%D0%B0%D1%82-1269","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6358eca3208e9.jpg","new","in stock","1250 UAH",""
"6358e8b363603","Funko Pop! Disney’s Brave - Merida № 1245 / Фанко Поп! Храбрая сердцем - Мерида № 1245","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-disney-s-brave-merida-1245-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%A5%D1%80%D0%B0%D0%B1%D1%80%D0%B0%D1%8F-%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%D0%BC-%D0%9C%D0%B5%D1%80%D0%B8%D0%B4%D0%B0-1245","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6358e745e84d8.jpg","new","in stock","1250 UAH",""
"6358e26a3879b","Funko Pop! Marvel : I Am Groot - Groot № 1116 / Фанко Поп! Я есть Грут - Грут № 1116","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-marvel-i-am-groot-groot-1116-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%AF-%D0%B5%D1%81%D1%82%D1%8C-%D0%93%D1%80%D1%83%D1%82-%D0%93%D1%80%D1%83%D1%82-1116","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6358e1a31fabb.jpg","new","in stock","1250 UAH",""
"6358dbb5ce349","Funko Pop! Star Wars - Anakin Skywalker with Lightsabers № 567 / Фанко Поп! Звёздные войны - Энакин Скайуокер № 567","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-star-wars-anakin-skywalker-with-lightsabers-567-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%97%D0%B2%D1%91%D0%B7%D0%B4%D0%BD%D1%8B%D0%B5-%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B-%D0%AD%D0%BD%D0%B0%D0%BA%D0%B8%D0%BD-%D0%A1%D0%BA%D0%B0%D0%B9%D1%83%D0%BE%D0%BA%D0%B5%D1%80-567","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6358db572f83e.jpg","new","in stock","1250 UAH",""
"6358d6e9810a1","Funko Pop! Marvel : Secret Invasion - Nick Fury № 1115 / Фанко Поп! Секретное вторжение - Ник Фьюри № 1115","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-marvel-secret-invasion-nick-fury-1115-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%A1%D0%B5%D0%BA%D1%80%D0%B5%D1%82%D0%BD%D0%BE%D0%B5-%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%9D%D0%B8%D0%BA-%D0%A4%D1%8C%D1%8E%D1%80%D0%B8-1115","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6358d54433b6e.jpg","new","in stock","1250 UAH",""
"63541a31076c4","Funko Pop! Secret life of pets - Gidget № 294 / Фанко Поп! Тайная жизнь домашних животных - Гиджет № 294","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-secret-life-of-pets-gidget-294-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%A2%D0%B0%D0%B9%D0%BD%D0%B0%D1%8F-%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C-%D0%B4%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D0%B8%D1%85-%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85-%D0%93%D0%B8%D0%B4%D0%B6%D0%B5%D1%82-294","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6354194940d20.jpg","new","in stock","1150 UAH",""
"6354186504746","Funko Pop! Moon Knight - Khonshu (gitd) № 1049 / Фанко Поп! Лунный Рыцарь - Хонсу № 1049 (светится в темноте)","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-moon-knight-khonshu-gitd-1049-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%9B%D1%83%D0%BD%D0%BD%D1%8B%D0%B9-%D0%A0%D1%8B%D1%86%D0%B0%D1%80%D1%8C-%D0%A5%D0%BE%D0%BD%D1%81%D1%83-1049-%D1%81%D0%B2%D0%B5%D1%82%D0%B8%D1%82%D1%81%D1%8F-%D0%B2-%D1%82%D0%B5%D0%BC%D0%BD%D0%BE%D1%82%D0%B5","https://static.s123-cdn-static-d.com/uploads/5314305/normal_63541824df9eb.jpg","new","in stock","1950 UAH",""
"6353ef089f65a","Funko Pop! Marvel Thor Ragnarok - Heimdall № 245 / Фанко Поп! Тор: Рагнарек - Хаймдалл № 245","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-marvel-thor-ragnarok-heimdall-245-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%A2%D0%BE%D1%80-%D0%A0%D0%B0%D0%B3%D0%BD%D0%B0%D1%80%D0%B5%D0%BA-%D0%A5%D0%B0%D0%B9%D0%BC%D0%B4%D0%B0%D0%BB%D0%BB-245","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6353ee96990f4.jpg","new","in stock","1700 UAH",""
"6353ed0a22104","Funko Pop! Marvel Thor Ragnarok - Hulk № 249 / Фанко Поп! Тор: Рагнарек - Халк № 249","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-marvel-thor-ragnarok-hulk-249-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%A2%D0%BE%D1%80-%D0%A0%D0%B0%D0%B3%D0%BD%D0%B0%D1%80%D0%B5%D0%BA-%D0%A5%D0%B0%D0%BB%D0%BA-249","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6353ec7a8bc45.jpg","new","in stock","1450 UAH",""
"6353e4a2a4ba2","Funko Pop! What if? - Party Thor № 877 / Фанко Поп! Что если? - Тор № 877","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-what-if-party-thor-877-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%A7%D1%82%D0%BE-%D0%B5%D1%81%D0%BB%D0%B8-%D0%A2%D0%BE%D1%80-877","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6353e3a66f5b6.jpg","new","in stock","1250 UAH",""
"6353e066a82a4","Funko Pop! Rick and Morty - Exoskeleton Snowball № 569 / Фанко Поп! Рик и Морти - Экзоскелет Снежок № 569","","https://www.funfanshop.com/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/funko-pop-rick-and-morty-exoskeleton-snowball-569-%D0%A4%D0%B0%D0%BD%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BF-%D0%A0%D0%B8%D0%BA-%D0%B8-%D0%9C%D0%BE%D1%80%D1%82%D0%B8-%D0%AD%D0%BA%D0%B7%D0%BE%D1%81%D0%BA%D0%B5%D0%BB%D0%B5%D1%82-%D0%A1%D0%BD%D0%B5%D0%B6%D0%BE%D0%BA-569","https://static.s123-cdn-static-d.com/uploads/5314305/normal_6353dfb928728.jpg","new","in stock","1800 UAH",""
